"","date","MTR_NUMBER","conload","imp"
"392",2021-04-14,"UST 0002021",NA,366.98
"393",2021-04-15,"USS 0004903",384,8.58
"394",2021-04-15,"USS 0004927",384,10.5
"395",2021-04-15,"USS 0004949",384,2.98
"396",2021-04-15,"USS 0004966",384,5.94
"397",2021-04-15,"USS 0005019",576,5.24
"398",2021-04-15,"USS 0008953",576,6.14
"399",2021-04-15,"USS 0008983",576,13.46
"400",2021-04-15,"USS 0009044",576,8.38
"401",2021-04-15,"USS 0009063",576,6.1
"402",2021-04-15,"USS 0009067",576,3.48
"403",2021-04-15,"USS 0009070",576,2.42
"404",2021-04-15,"USS 0009072",576,5.44
"405",2021-04-15,"USS 0009073",576,5.54
"406",2021-04-15,"USS 0009074",576,5.54
"407",2021-04-15,"USS 0009075",576,5.54
"408",2021-04-15,"USS 0009076",576,5.54
"409",2021-04-15,"USS 0015695",576,2.48
"410",2021-04-15,"USS 0017113",192,2.88
"411",2021-04-15,"USS 0017137",768,0
"412",2021-04-15,"USS 0017138",576,11.1
"413",2021-04-15,"USS 0020686",192,0
"414",2021-04-15,"USS 0020707",768,47.62
"415",2021-04-15,"UST 0000711",1248,27.24
"416",2021-04-15,"UST 0000712",1248,19.44
"417",2021-04-15,"UST 0000713",1248,18.08
"418",2021-04-15,"UST 0002019",1248,17.94
"419",2021-04-15,"UST 0002020",1248,15.14
"420",2021-04-15,"UST 0002021",NA,293.5
"421",2021-04-16,"USS 0004903",384,7.9
"422",2021-04-16,"USS 0004927",384,9.64
"423",2021-04-16,"USS 0004949",384,3.22
"424",2021-04-16,"USS 0004966",384,5.28
"425",2021-04-16,"USS 0005019",576,4.14
"426",2021-04-16,"USS 0008953",576,8.56
"427",2021-04-16,"USS 0008983",576,11.22
"428",2021-04-16,"USS 0009044",576,8.26
"429",2021-04-16,"USS 0009063",576,6.14
"430",2021-04-16,"USS 0009067",576,2.94
"431",2021-04-16,"USS 0009070",576,3.04
"432",2021-04-16,"USS 0009072",576,5.48
"433",2021-04-16,"USS 0009073",576,5.58
"434",2021-04-16,"USS 0009074",576,5.58
"435",2021-04-16,"USS 0009075",576,5.56
"436",2021-04-16,"USS 0009076",576,5.56
"437",2021-04-16,"USS 0015695",576,3.38
"438",2021-04-16,"USS 0017113",192,5.18
"439",2021-04-16,"USS 0017137",768,0
"440",2021-04-16,"USS 0017138",576,8.12
"441",2021-04-16,"USS 0020686",192,0
"442",2021-04-16,"USS 0020707",768,46.98
"443",2021-04-16,"UST 0000711",1248,26.48
"444",2021-04-16,"UST 0000712",1248,19.46
"445",2021-04-16,"UST 0000713",1248,18.02
"446",2021-04-16,"UST 0002019",1248,17.7
"447",2021-04-16,"UST 0002020",1248,15
"448",2021-04-16,"UST 0002021",NA,294.12
"449",2021-04-17,"USS 0004903",384,9.24
"450",2021-04-17,"USS 0004927",384,14.78
"451",2021-04-17,"USS 0004949",384,3.52
"452",2021-04-17,"USS 0004966",384,3.96
"453",2021-04-17,"USS 0005019",576,4.2
"454",2021-04-17,"USS 0008953",576,10.34
"455",2021-04-17,"USS 0008983",576,9.26
"456",2021-04-17,"USS 0009044",576,8.32
"457",2021-04-17,"USS 0009063",576,4.96
"458",2021-04-17,"USS 0009067",576,3.16
"459",2021-04-17,"USS 0009070",576,2.66
"460",2021-04-17,"USS 0009072",576,5.42
"461",2021-04-17,"USS 0009073",576,5.5
"462",2021-04-17,"USS 0009074",576,5.52
"463",2021-04-17,"USS 0009075",576,5.5
"464",2021-04-17,"USS 0009076",576,5.5
"465",2021-04-17,"USS 0015695",576,5.54
"466",2021-04-17,"USS 0017113",192,3.34
"467",2021-04-17,"USS 0017137",768,0
"468",2021-04-17,"USS 0017138",576,0.44
"469",2021-04-17,"USS 0020686",192,0
"470",2021-04-17,"USS 0020707",768,48.94
"471",2021-04-17,"UST 0000711",1248,27.24
"472",2021-04-17,"UST 0000712",1248,19.56
"473",2021-04-17,"UST 0000713",1248,18.08
"474",2021-04-17,"UST 0002019",1248,17.5
"475",2021-04-17,"UST 0002020",1248,14.76
"476",2021-04-17,"UST 0002021",NA,323.7
"477",2021-04-18,"USS 0004903",384,9.3
"478",2021-04-18,"USS 0004927",384,15.08
"479",2021-04-18,"USS 0004949",384,2.78
"480",2021-04-18,"USS 0004966",384,1.54
"481",2021-04-18,"USS 0005019",576,3.78
"482",2021-04-18,"USS 0008953",576,8.1
"483",2021-04-18,"USS 0008983",576,7.02
"484",2021-04-18,"USS 0009044",576,8.94
"485",2021-04-18,"USS 0009063",576,6.22
"486",2021-04-18,"USS 0009067",576,2
"487",2021-04-18,"USS 0009070",576,1.92
"488",2021-04-18,"USS 0009072",576,5.36
"489",2021-04-18,"USS 0009073",576,5.42
"490",2021-04-18,"USS 0009074",576,5.4
"491",2021-04-18,"USS 0009075",576,5.42
"492",2021-04-18,"USS 0009076",576,5.24
"493",2021-04-18,"USS 0015695",576,1.84
"494",2021-04-18,"USS 0017113",192,0.06
"495",2021-04-18,"USS 0017137",768,0
"496",2021-04-18,"USS 0017138",576,0.02
"497",2021-04-18,"USS 0020686",192,0
"498",2021-04-18,"USS 0020707",768,45.58
"499",2021-04-18,"UST 0000711",1248,26.56
"500",2021-04-18,"UST 0000712",1248,18.56
"501",2021-04-18,"UST 0000713",1248,17.1
"502",2021-04-18,"UST 0002019",1248,16.46
"503",2021-04-18,"UST 0002020",1248,14.12
"504",2021-04-18,"UST 0002021",NA,325.46
"505",2021-04-19,"USS 0004903",384,10.14
"506",2021-04-19,"USS 0004927",384,10.98
"507",2021-04-19,"USS 0004949",384,3.7
"508",2021-04-19,"USS 0004966",384,4.82
"509",2021-04-19,"USS 0005019",576,3.18
"510",2021-04-19,"USS 0008953",576,9.1
"511",2021-04-19,"USS 0008983",576,8.38
"512",2021-04-19,"USS 0009044",576,8.68
"513",2021-04-19,"USS 0009063",576,5.52
"514",2021-04-19,"USS 0009067",576,2.4
"515",2021-04-19,"USS 0009070",576,1.86
"516",2021-04-19,"USS 0009072",576,5.4
"517",2021-04-19,"USS 0009073",576,5.52
"518",2021-04-19,"USS 0009074",576,5.54
"519",2021-04-19,"USS 0009075",576,6
"520",2021-04-19,"USS 0009076",576,5.52
"521",2021-04-19,"USS 0015695",576,3.38
"522",2021-04-19,"USS 0017113",192,1.56
"523",2021-04-19,"USS 0017137",768,0
"524",2021-04-19,"USS 0017138",576,0.92
"525",2021-04-19,"USS 0020686",192,0
"526",2021-04-19,"USS 0020707",768,44.52
"527",2021-04-19,"UST 0000711",1248,28.58
"528",2021-04-19,"UST 0000712",1248,19.5
"529",2021-04-19,"UST 0000713",1248,17.96
"530",2021-04-19,"UST 0002019",1248,17.74
"531",2021-04-19,"UST 0002020",1248,14.92
"532",2021-04-19,"UST 0002021",NA,301.7
"533",2021-04-20,"USS 0004903",384,11.18
"534",2021-04-20,"USS 0004927",384,12.1
"535",2021-04-20,"USS 0004949",384,2.02
"536",2021-04-20,"USS 0004966",384,5.5
"537",2021-04-20,"USS 0005019",576,2.9
"538",2021-04-20,"USS 0008953",576,6.54
"539",2021-04-20,"USS 0008983",576,8.8
"540",2021-04-20,"USS 0009044",576,5.04
"541",2021-04-20,"USS 0009063",576,5.54
"542",2021-04-20,"USS 0009067",576,3.24
"543",2021-04-20,"USS 0009070",576,0.84
"544",2021-04-20,"USS 0009072",576,5.38
"545",2021-04-20,"USS 0009073",576,5.52
"546",2021-04-20,"USS 0009074",576,5.52
